periode_data,tanggal,stasiun,pm10,pm2.5,so2,co,o3,no2,max,critical,kategori
201210,2012-10-30,DKI2,68,,29,58,268,14,268,O3,SANGAT TIDAK SEHAT
201210,2012-10-31,DKI2,72,,31,42,278,21,278,O3,SANGAT TIDAK SEHAT
201201,2012-11-01,DKI2,42,,16,31,75,14,75,O3,SEDANG
201202,2012-11-02,DKI2,64,,17,46,134,13,134,O3,TIDAK SEHAT
201203,2012-11-03,DKI2,43,,12,23,100,17,100,O3,SEDANG
201204,2012-11-04,DKI2,87,,36,48,110,24,110,O3,TIDAK SEHAT
201205,2012-11-05,DKI2,66,,25,38,173,26,173,O3,TIDAK SEHAT
201206,2012-11-06,DKI2,96,,21,53,204,34,204,O3,SANGAT TIDAK SEHAT
201207,2012-11-07,DKI4,105,,27,33,88,27,105,PM10,TIDAK SEHAT
201208,2012-11-08,DKI4,114,,32,22,97,17,114,PM10,TIDAK SEHAT
201209,2012-11-09,DKI3,78,,27,34,175,26,175,O3,TIDAK SEHAT
201210,2012-11-10,DKI2,74,,27,31,261,19,261,O3,SANGAT TIDAK SEHAT
201211,2012-11-11,DKI2,60,,25,28,267,22,267,O3,SANGAT TIDAK SEHAT
201212,2012-11-12,DKI3,70,,13,31,209,19,209,O3,SANGAT TIDAK SEHAT
201211,2012-11-13,DKI2,62,,26,40,270,18,270,O3,SANGAT TIDAK SEHAT
201211,2012-11-14,DKI2,93,,34,83,279,23,279,O3,SANGAT TIDAK SEHAT
201211,2012-11-15,DKI2,73,,30,134,261,17,261,O3,SANGAT TIDAK SEHAT
201211,2012-11-16,DKI4,83,,29,78,105,19,105,O3,TIDAK SEHAT
201211,2012-11-17,DKI2,79,,30,29,266,20,266,O3,SANGAT TIDAK SEHAT
201211,2012-11-18,DKI1,47,,23,17,57,12,57,O3,SEDANG
201211,2012-11-19,DKI2,51,,30,35,221,22,221,O3,SANGAT TIDAK SEHAT
201211,2012-11-20,DKI2,58,,30,43,261,19,261,O3,SANGAT TIDAK SEHAT
201211,2012-11-21,DKI2,75,,32,73,154,27,154,O3,TIDAK SEHAT
201211,2012-11-22,DKI2,71,,30,48,185,18,185,O3,TIDAK SEHAT
201211,2012-11-23,DKI2,69,,33,40,203,22,203,O3,SANGAT TIDAK SEHAT
201211,2012-11-24,DKI2,53,,30,31,200,18,200,O3,SANGAT TIDAK SEHAT
201211,2012-11-25,DKI2,62,,36,38,238,18,238,O3,SANGAT TIDAK SEHAT
201211,2012-11-26,DKI2,58,,34,40,203,18,203,O3,SANGAT TIDAK SEHAT
201211,2012-11-27,DKI2,84,,37,52,215,18,215,O3,SANGAT TIDAK SEHAT
201211,2012-11-28,DKI2,62,,30,47,227,16,227,O3,SANGAT TIDAK SEHAT
201211,2012-11-29,DKI2,69,,32,49,218,22,218,O3,SANGAT TIDAK SEHAT
201211,2012-11-30,DKI2,76,,30,76,137,22,137,O3,TIDAK SEHAT
201201,2012-12-01,DKI2,42,,20,37,52,13,52,O3,SEDANG
201202,2012-12-02,DKI2,40,,11,20,91,12,91,O3,SEDANG
201203,2012-12-03,DKI2,52,,13,23,177,11,177,O3,TIDAK SEHAT
201204,2012-12-04,DKI2,68,,27,36,147,19,147,O3,TIDAK SEHAT
201205,2012-12-05,DKI2,70,,27,33,164,17,164,O3,TIDAK SEHAT
201206,2012-12-06,DKI2,84,,30,46,168,22,168,O3,TIDAK SEHAT
201207,2012-12-07,DKI2,86,,31,33,131,20,131,O3,TIDAK SEHAT
201208,2012-12-08,DKI4,121,,27,22,86,26,121,PM10,TIDAK SEHAT
201209,2012-12-09,DKI3,82,,31,49,167,21,167,O3,TIDAK SEHAT
201210,2012-12-10,DKI2,69,,31,29,266,20,266,O3,SANGAT TIDAK SEHAT
201211,2012-12-11,DKI2,59,,27,39,246,22,246,O3,SANGAT TIDAK SEHAT
201212,2012-12-12,DKI2,72,,16,33,163,19,163,O3,TIDAK SEHAT
201212,2012-12-13,DKI2,64,,6,39,135,24,135,O3,TIDAK SEHAT
201212,2012-12-14,DKI2,68,,7,42,223,30,223,O3,SANGAT TIDAK SEHAT
201212,2012-12-15,DKI2,63,,5,61,214,17,214,O3,SANGAT TIDAK SEHAT
201212,2012-12-16,DKI2,59,,8,20,215,18,215,O3,SANGAT TIDAK SEHAT
201212,2012-12-17,DKI2,53,,7,32,124,20,124,O3,TIDAK SEHAT
201212,2012-12-18,DKI2,49,,8,39,107,19,107,O3,TIDAK SEHAT
201212,2012-12-19,DKI2,65,,6,51,168,18,168,O3,TIDAK SEHAT
201212,2012-12-20,DKI2,66,,12,33,155,20,155,O3,TIDAK SEHAT
201212,2012-12-21,DKI2,55,,9,29,185,14,185,O3,TIDAK SEHAT
201212,2012-12-22,DKI2,52,,2,39,217,12,217,O3,SANGAT TIDAK SEHAT
201212,2012-12-23,DKI2,43,,4,35,209,13,209,O3,SANGAT TIDAK SEHAT
201212,2012-12-24,DKI2,53,,9,21,178,13,178,O3,TIDAK SEHAT
201212,2012-12-25,DKI2,45,,4,20,192,10,192,O3,TIDAK SEHAT
201212,2012-12-26,DKI2,38,,3,31,205,16,205,O3,SANGAT TIDAK SEHAT
201212,2012-12-27,DKI2,45,,6,30,218,12,218,O3,SANGAT TIDAK SEHAT
201212,2012-12-28,DKI2,47,,4,23,210,11,210,O3,SANGAT TIDAK SEHAT
201212,2012-12-29,DKI2,40,,4,26,215,14,215,O3,SANGAT TIDAK SEHAT
201212,2012-12-30,DKI2,38,,4,20,215,10,215,O3,SANGAT TIDAK SEHAT
201212,2012-12-31,DKI2,36,,2,15,153,7,153,O3,TIDAK SEHAT
201301,2013-01-01,DKI2,75,,4,27,135,10,135,O3,TIDAK SEHAT
201302,2013-01-02,DKI2,69,,19,35,158,16,158,O3,TIDAK SEHAT
201303,2013-01-03,DKI2,48,,8,24,125,14,125,O3,TIDAK SEHAT
201304,2013-01-04,DKI2,56,,14,40,268,22,268,O3,SANGAT TIDAK SEHAT
201305,2013-01-05,DKI4,71,,11,18,74,12,74,O3,SEDANG
201306,2013-01-06,DKI4,50,,12,20,81,16,81,O3,SEDANG
201307,2013-01-07,DKI4,63,,30,31,71,20,71,O3,SEDANG
201308,2013-01-08,DKI3,70,,22,32,104,20,104,O3,TIDAK SEHAT
201309,2013-01-09,DKI4,74,,23,33,67,13,74,PM10,SEDANG
201310,2013-01-10,DKI4,101,,40,39,85,25,101,PM10,TIDAK SEHAT
201311,2013-01-11,DKI4,72,,35,34,130,22,130,O3,TIDAK SEHAT
201312,2013-01-12,DKI4,64,,27,26,158,16,158,O3,TIDAK SEHAT
201301,2013-01-13,DKI2,37,,3,37,154,11,154,O3,TIDAK SEHAT
201301,2013-01-14,DKI2,49,,4,26,171,13,171,O3,TIDAK SEHAT
201301,2013-01-15,DKI2,53,,3,40,154,22,154,O3,TIDAK SEHAT
201301,2013-01-16,DKI2,54,,6,37,159,20,159,O3,TIDAK SEHAT
201301,2013-01-17,DKI2,59,,8,42,186,18,186,O3,TIDAK SEHAT
201301,2013-01-18,DKI2,49,,3,37,202,27,202,O3,SANGAT TIDAK SEHAT
201301,2013-01-19,DKI2,84,,7,78,110,33,110,O3,TIDAK SEHAT
201301,2013-01-20,DKI2,39,,3,17,152,11,152,O3,TIDAK SEHAT
201301,2013-01-21,DKI2,55,,6,23,170,12,170,O3,TIDAK SEHAT
201301,2013-01-22,DKI2,61,,6,29,195,14,195,O3,TIDAK SEHAT
201301,2013-01-23,DKI2,57,,9,50,139,15,139,O3,TIDAK SEHAT
201301,2013-01-24,DKI2,40,,5,28,135,10,135,O3,TIDAK SEHAT
201301,2013-01-25,DKI2,51,,8,34,155,15,155,O3,TIDAK SEHAT
201301,2013-01-26,DKI2,62,,9,50,144,15,144,O3,TIDAK SEHAT
201301,2013-01-27,DKI2,52,,5,25,122,11,122,O3,TIDAK SEHAT
201301,2013-01-28,DKI2,41,,5,29,195,14,195,O3,TIDAK SEHAT
201301,2013-01-29,DKI2,69,,7,44,184,15,184,O3,TIDAK SEHAT
201301,2013-01-30,DKI2,55,,5,29,151,14,151,O3,TIDAK SEHAT
201301,2013-01-31,DKI2,74,,9,36,195,20,195,O3,TIDAK SEHAT
201301,2013-02-01,DKI2,35,,4,26,192,8,192,O3,TIDAK SEHAT
201302,2013-02-02,DKI2,82,,6,28,209,16,209,O3,SANGAT TIDAK SEHAT
201303,2013-02-03,DKI2,54,,7,26,216,12,216,O3,SANGAT TIDAK SEHAT
201304,2013-02-04,DKI3,67,,17,40,92,23,92,O3,SEDANG
201305,2013-02-05,DKI5,56,,12,33,83,19,83,O3,SEDANG
201306,2013-02-06,DKI4,67,,16,42,69,27,69,O3,SEDANG
201307,2013-02-07,DKI4,82,,28,43,79,21,82,PM10,SEDANG
201308,2013-02-08,DKI3,63,,25,37,75,15,75,O3,SEDANG
201309,2013-02-09,DKI3,76,,29,30,109,15,109,O3,TIDAK SEHAT
201310,2013-02-10,DKI5,82,,31,45,110,21,110,O3,TIDAK SEHAT
201311,2013-02-11,DKI5,64,,29,44,97,25,97,O3,SEDANG
201312,2013-02-12,DKI4,72,,42,32,193,20,193,O3,TIDAK SEHAT
201302,2013-02-13,DKI2,51,,10,31,213,19,213,O3,SANGAT TIDAK SEHAT
201302,2013-02-14,DKI2,69,,16,38,224,21,224,O3,SANGAT TIDAK SEHAT
201302,2013-02-15,DKI2,59,,11,34,196,17,196,O3,TIDAK SEHAT
201302,2013-02-16,DKI2,49,,7,21,174,11,174,O3,TIDAK SEHAT
201302,2013-02-17,DKI2,33,,5,20,134,10,134,O3,TIDAK SEHAT
201302,2013-02-18,DKI2,45,,8,33,153,15,153,O3,TIDAK SEHAT
201302,2013-02-19,DKI2,44,,7,32,104,14,104,O3,TIDAK SEHAT
201302,2013-02-20,DKI2,58,,8,42,145,13,145,O3,TIDAK SEHAT
201302,2013-02-21,DKI2,54,,7,44,152,19,152,O3,TIDAK SEHAT
201302,2013-02-22,DKI2,50,,6,25,64,11,64,O3,SEDANG
201302,2013-02-23,DKI2,49,,5,25,168,12,168,O3,TIDAK SEHAT
201302,2013-02-24,DKI2,59,,5,50,217,13,217,O3,SANGAT TIDAK SEHAT
201302,2013-02-25,DKI2,52,,6,24,134,15,134,O3,TIDAK SEHAT
201302,2013-02-26,DKI2,57,,5,31,213,14,213,O3,SANGAT TIDAK SEHAT
201302,2013-02-27,DKI2,53,,5,33,230,17,230,O3,SANGAT TIDAK SEHAT
201302,2013-02-28,DKI2,47,,6,21,185,7,185,O3,TIDAK SEHAT
201301,2013-03-01,DKI2,61,,5,36,195,9,195,O3,TIDAK SEHAT
201302,2013-03-02,DKI2,69,,21,63,135,22,135,O3,TIDAK SEHAT
201303,2013-03-03,DKI2,63,,7,33,217,14,217,O3,SANGAT TIDAK SEHAT
201304,2013-03-04,DKI4,71,,17,43,151,27,151,O3,TIDAK SEHAT
201305,2013-03-05,DKI3,71,,18,27,72,13,72,O3,SEDANG
201306,2013-03-06,DKI4,64,,12,28,60,17,64,PM10,SEDANG
201307,2013-03-07,DKI3,57,,16,43,134,23,134,O3,TIDAK SEHAT
201308,2013-03-08,DKI5,68,,23,33,72,16,72,O3,SEDANG
201309,2013-03-09,DKI5,82,,22,42,125,24,125,O3,TIDAK SEHAT
201310,2013-03-10,DKI3,75,,27,33,110,24,110,O3,TIDAK SEHAT
201311,2013-03-11,DKI5,70,,29,38,98,15,98,O3,SEDANG
201312,2013-03-12,DKI4,75,,36,37,169,22,169,O3,TIDAK SEHAT
201303,2013-03-13,DKI2,58,,9,33,204,16,204,O3,SANGAT TIDAK SEHAT
201303,2013-03-14,DKI2,64,,25,17,207,19,207,O3,SANGAT TIDAK SEHAT
201303,2013-03-15,DKI2,82,,15,38,205,19,205,O3,SANGAT TIDAK SEHAT
201303,2013-03-16,DKI2,67,,13,29,210,18,210,O3,SANGAT TIDAK SEHAT
201303,2013-03-17,DKI2,58,,12,33,212,13,212,O3,SANGAT TIDAK SEHAT
201303,2013-03-18,DKI2,61,,11,30,176,15,176,O3,TIDAK SEHAT
201303,2013-03-19,DKI2,69,,36,37,206,21,206,O3,SANGAT TIDAK SEHAT
201303,2013-03-20,DKI2,68,,14,36,217,20,217,O3,SANGAT TIDAK SEHAT
201303,2013-03-21,DKI2,62,,12,35,178,19,178,O3,TIDAK SEHAT
201303,2013-03-22,DKI2,76,,13,42,204,21,204,O3,SANGAT TIDAK SEHAT
201303,2013-03-23,DKI2,76,,19,37,168,14,168,O3,TIDAK SEHAT
201303,2013-03-24,DKI2,53,,15,33,198,18,198,O3,TIDAK SEHAT
201303,2013-03-25,DKI2,59,,15,18,197,19,197,O3,TIDAK SEHAT
201303,2013-03-26,DKI2,81,,19,44,198,21,198,O3,TIDAK SEHAT
201303,2013-03-27,DKI2,80,,16,37,187,23,187,O3,TIDAK SEHAT
201303,2013-03-28,DKI5,96,,17,68,213,28,213,O3,SANGAT TIDAK SEHAT
201303,2013-03-29,DKI2,79,,13,37,276,19,276,O3,SANGAT TIDAK SEHAT
201303,2013-03-30,DKI2,61,,18,23,263,18,263,O3,SANGAT TIDAK SEHAT
201303,2013-03-31,DKI2,54,,10,23,267,12,267,O3,SANGAT TIDAK SEHAT
201301,2013-04-01,DKI2,39,,4,13,210,10,210,O3,SANGAT TIDAK SEHAT
201302,2013-04-02,DKI3,87,,14,55,128,25,128,O3,TIDAK SEHAT
201303,2013-04-03,DKI2,46,,5,26,217,14,217,O3,SANGAT TIDAK SEHAT
201304,2013-04-04,DKI4,65,,13,35,144,17,144,O3,TIDAK SEHAT
201305,2013-04-05,DKI3,78,,24,21,94,12,94,O3,SEDANG
201306,2013-04-06,DKI4,56,,10,31,45,17,56,PM10,SEDANG
201307,2013-04-07,DKI2,58,,29,51,43,23,58,PM10,SEDANG
201308,2013-04-08,DKI3,73,,23,38,75,12,75,O3,SEDANG
201309,2013-04-09,DKI2,75,,19,33,98,19,98,O3,SEDANG
201310,2013-04-10,DKI4,85,,22,31,134,23,134,O3,TIDAK SEHAT
201311,2013-04-11,DKI2,66,,25,30,123,21,123,O3,TIDAK SEHAT
201312,2013-04-12,DKI4,72,,37,38,159,19,159,O3,TIDAK SEHAT
201304,2013-04-13,DKI2,58,,8,22,38,16,58,PM10,SEDANG
201304,2013-04-14,DKI2,114,,6,15,60,15,114,PM10,TIDAK SEHAT
201304,2013-04-15,DKI2,107,,6,22,93,10,107,PM10,TIDAK SEHAT
201304,2013-04-16,DKI4,62,,13,30,90,22,90,O3,SEDANG
201304,2013-04-17,DKI3,69,,15,37,125,32,125,O3,TIDAK SEHAT
201304,2013-04-18,DKI1,49,,8,31,121,22,121,O3,TIDAK SEHAT
201304,2013-04-19,DKI5,60,,16,46,133,22,133,O3,TIDAK SEHAT
201304,2013-04-20,DKI5,67,,22,34,128,20,128,O3,TIDAK SEHAT
201304,2013-04-21,DKI4,75,,10,37,120,19,120,O3,TIDAK SEHAT
201304,2013-04-22,DKI4,56,,16,32,71,12,71,O3,SEDANG
201304,2013-04-23,DKI1,73,,18,54,77,20,77,O3,SEDANG
201304,2013-04-24,DKI5,71,,20,33,66,16,71,PM10,SEDANG
201304,2013-04-25,DKI5,82,,14,43,140,14,140,O3,TIDAK SEHAT
201304,2013-04-26,DKI4,77,,20,58,99,24,99,O3,SEDANG
201304,2013-04-27,DKI4,68,,16,26,75,11,75,O3,SEDANG
201304,2013-04-28,DKI4,72,,15,26,60,13,72,PM10,SEDANG
201304,2013-04-29,DKI4,67,,23,18,60,14,67,PM10,SEDANG
201304,2013-04-30,DKI4,71,,19,15,68,13,71,PM10,SEDANG
201301,2013-05-01,DKI2,53,,5,14,111,8,111,O3,TIDAK SEHAT
201302,2013-05-02,DKI3,59,,9,37,158,21,158,O3,TIDAK SEHAT
201303,2013-05-03,DKI2,44,,5,38,132,16,132,O3,TIDAK SEHAT
201304,2013-05-04,DKI4,56,,15,38,66,16,66,O3,SEDANG
201305,2013-05-05,DKI4,76,,17,20,69,13,76,PM10,SEDANG
201306,2013-05-06,DKI4,62,,11,42,95,18,95,O3,SEDANG
201307,2013-05-07,DKI4,60,,40,49,64,22,64,O3,SEDANG
201308,2013-05-08,DKI5,69,,19,33,87,27,87,O3,SEDANG
201309,2013-05-09,DKI5,77,,20,32,139,24,139,O3,TIDAK SEHAT
201310,2013-05-10,DKI2,78,,28,35,107,18,107,O3,TIDAK SEHAT
201311,2013-05-11,DKI2,79,,23,31,118,18,118,O3,TIDAK SEHAT
201312,2013-05-12,DKI5,53,,39,23,133,19,133,O3,TIDAK SEHAT
201305,2013-05-13,DKI4,69,,16,37,47,19,69,PM10,SEDANG
201305,2013-05-14,DKI5,90,,17,54,93,27,93,O3,SEDANG
201305,2013-05-15,DKI4,82,,19,40,56,28,82,PM10,SEDANG
201305,2013-05-16,DKI4,69,,14,35,64,28,69,PM10,SEDANG
201305,2013-05-17,DKI4,87,,27,30,77,18,87,PM10,SEDANG
201305,2013-05-18,DKI4,68,,27,36,135,21,135,O3,TIDAK SEHAT
201305,2013-05-19,DKI4,77,,18,31,133,28,133,O3,TIDAK SEHAT
201305,2013-05-20,DKI5,54,,14,34,154,28,154,O3,TIDAK SEHAT
201305,2013-05-21,DKI5,81,,19,32,127,24,127,O3,TIDAK SEHAT
201305,2013-05-22,DKI5,88,,36,62,58,16,88,PM10,SEDANG
201305,2013-05-23,DKI5,68,,39,53,149,24,149,O3,TIDAK SEHAT
201305,2013-05-24,DKI5,63,,22,30,119,24,119,O3,TIDAK SEHAT
201305,2013-05-25,DKI4,77,,13,24,99,25,99,O3,SEDANG
201305,2013-05-26,DKI4,63,,17,26,103,17,103,O3,TIDAK SEHAT
201305,2013-05-27,DKI3,88,,20,32,90,23,90,O3,SEDANG
201305,2013-05-28,DKI2,70,,23,33,78,25,78,O3,SEDANG
201305,2013-05-29,DKI4,79,,22,67,120,22,120,O3,TIDAK SEHAT
201305,2013-05-30,DKI4,59,,18,21,75,22,75,O3,SEDANG
201305,2013-05-31,DKI4,52,,13,20,60,24,60,O3,SEDANG
201301,2013-06-01,DKI2,32,,3,20,150,9,150,O3,TIDAK SEHAT
201302,2013-06-02,DKI2,52,,7,28,151,14,151,O3,TIDAK SEHAT
201303,2013-06-03,DKI1,103,,17,80,99,35,103,PM10,TIDAK SEHAT
201304,2013-06-04,DKI4,51,,20,23,132,16,132,O3,TIDAK SEHAT
201305,2013-06-05,DKI4,89,,18,36,113,18,113,O3,TIDAK SEHAT
201306,2013-06-06,DKI4,53,,9,32,48,14,53,PM10,SEDANG
201307,2013-06-07,DKI1,58,,22,46,56,15,58,PM10,SEDANG
201308,2013-06-08,DKI5,95,,19,59,122,19,122,O3,TIDAK SEHAT
201309,2013-06-09,DKI4,67,,18,31,123,19,123,O3,TIDAK SEHAT
201310,2013-06-10,DKI5,75,,26,30,134,21,134,O3,TIDAK SEHAT
201311,2013-06-11,DKI4,80,,30,41,159,19,159,O3,TIDAK SEHAT
201312,2013-06-12,DKI4,70,,54,27,102,18,102,O3,TIDAK SEHAT
201306,2013-06-13,DKI4,70,,29,58,72,25,72,O3,SEDANG
201306,2013-06-14,DKI5,56,,23,51,71,13,71,O3,SEDANG
201306,2013-06-15,DKI4,67,,28,35,74,13,74,O3,SEDANG
201306,2013-06-16,DKI5,85,,33,71,151,21,151,O3,TIDAK SEHAT
201306,2013-06-17,DKI3,84,,15,53,124,19,124,O3,TIDAK SEHAT
201306,2013-06-18,DKI4,78,,14,54,65,25,78,PM10,SEDANG
201306,2013-06-19,DKI4,64,,18,35,60,15,64,PM10,SEDANG
201306,2013-06-20,DKI2,68,,21,45,74,17,74,O3,SEDANG
201306,2013-06-21,DKI4,99,,24,77,90,30,99,PM10,SEDANG
201306,2013-06-22,DKI4,92,,31,81,82,16,92,PM10,SEDANG
201306,2013-06-23,DKI4,74,,28,66,97,11,97,O3,SEDANG
201306,2013-06-24,DKI2,106,,34,40,114,18,114,O3,TIDAK SEHAT
201306,2013-06-25,DKI4,87,,39,45,140,21,140,O3,TIDAK SEHAT
201306,2013-06-26,DKI4,93,,40,34,101,26,101,O3,TIDAK SEHAT
201306,2013-06-27,DKI4,83,,52,58,89,26,89,O3,SEDANG
201306,2013-06-28,DKI5,59,,23,38,68,19,68,O3,SEDANG
201306,2013-06-29,DKI5,87,,34,81,79,14,87,PM10,SEDANG
201306,2013-06-30,DKI4,73,,40,35,69,14,73,PM10,SEDANG
201301,2013-07-01,DKI2,28,,4,14,170,11,170,O3,TIDAK SEHAT
201302,2013-07-02,DKI2,59,,9,57,213,21,213,O3,SANGAT TIDAK SEHAT
201303,2013-07-03,DKI2,87,,20,90,166,30,166,O3,TIDAK SEHAT
201304,2013-07-04,DKI2,70,,9,23,63,15,70,PM10,SEDANG
201305,2013-07-05,DKI4,89,,12,32,79,16,89,PM10,SEDANG
201306,2013-07-06,DKI4,76,,18,53,149,29,149,O3,TIDAK SEHAT
201307,2013-07-07,DKI4,83,,19,58,65,16,83,PM10,SEDANG
201308,2013-07-08,DKI5,61,,15,22,86,17,86,O3,SEDANG
201309,2013-07-09,DKI4,70,,20,32,78,20,78,O3,SEDANG
201310,2013-07-10,DKI3,67,,37,31,101,17,101,O3,TIDAK SEHAT
201311,2013-07-11,DKI4,85,,34,39,152,28,152,O3,TIDAK SEHAT
201312,2013-07-12,DKI4,57,,30,27,100,17,100,O3,SEDANG
201307,2013-07-13,DKI4,60,,27,39,83,19,83,O3,SEDANG
201307,2013-07-14,DKI2,35,,13,32,74,20,74,O3,SEDANG
201307,2013-07-15,DKI4,65,,27,48,76,19,76,O3,SEDANG
201307,2013-07-16,DKI2,77,,31,43,66,23,77,PM10,SEDANG
201307,2013-07-17,DKI4,74,,20,50,117,25,117,O3,TIDAK SEHAT
201307,2013-07-18,DKI4,75,,19,45,84,20,84,O3,SEDANG
201307,2013-07-19,DKI5,64,,23,41,99,21,99,O3,SEDANG
201307,2013-07-20,DKI5,76,,19,39,129,17,129,O3,TIDAK SEHAT
201307,2013-07-21,DKI2,77,,25,56,105,22,105,O3,TIDAK SEHAT
201307,2013-07-22,DKI5,62,,21,40,112,19,112,O3,TIDAK SEHAT
201307,2013-07-23,DKI5,81,,23,81,93,23,93,O3,SEDANG
201307,2013-07-24,DKI2,64,,30,46,64,17,64,PM10,SEDANG
201307,2013-07-25,DKI4,65,,24,44,56,13,65,PM10,SEDANG
201307,2013-07-26,DKI4,57,,19,25,51,9,57,PM10,SEDANG
201307,2013-07-27,DKI4,72,,27,30,91,15,91,O3,SEDANG
201307,2013-07-28,DKI4,78,,23,58,78,24,78,PM10,SEDANG
201307,2013-07-29,DKI4,80,,23,35,115,19,115,O3,TIDAK SEHAT
201307,2013-07-30,DKI3,68,,37,35,85,20,85,O3,SEDANG
201307,2013-07-31,DKI4,75,,18,32,88,21,88,O3,SEDANG
201301,2013-08-01,DKI4,33,,2,25,31,6,33,PM10,BAIK
201302,2013-08-02,DKI2,65,,12,33,205,22,205,O3,SANGAT TIDAK SEHAT
201303,2013-08-03,DKI2,64,,12,34,183,17,183,O3,TIDAK SEHAT
201304,2013-08-04,DKI5,56,,25,42,167,25,167,O3,TIDAK SEHAT
201305,2013-08-05,DKI4,58,,10,31,71,17,71,O3,SEDANG
201306,2013-08-06,DKI4,111,,25,62,129,21,129,O3,TIDAK SEHAT
201307,2013-08-07,DKI4,104,,36,98,109,17,109,O3,TIDAK SEHAT
201308,2013-08-08,DKI4,67,,18,58,94,13,94,O3,SEDANG
201309,2013-08-09,DKI3,63,,23,26,92,15,92,O3,SEDANG
201310,2013-08-10,DKI5,90,,26,32,88,22,90,PM10,SEDANG
201311,2013-08-11,DKI4,80,,50,35,132,25,132,O3,TIDAK SEHAT
201312,2013-08-12,DKI4,59,,35,32,117,17,117,O3,TIDAK SEHAT
201308,2013-08-13,DKI3,65,,22,39,119,18,119,O3,TIDAK SEHAT
201308,2013-08-14,DKI3,64,,38,22,115,17,115,O3,TIDAK SEHAT
201308,2013-08-15,DKI4,72,,32,25,59,15,72,PM10,SEDANG
201308,2013-08-16,DKI1,67,,28,27,68,10,68,O3,SEDANG
201308,2013-08-17,DKI4,68,,28,34,66,10,68,PM10,SEDANG
201308,2013-08-18,DKI4,54,,16,25,79,13,79,O3,SEDANG
201308,2013-08-19,DKI4,60,,29,32,71,16,71,O3,SEDANG
201308,2013-08-20,DKI3,61,,24,27,110,19,110,O3,TIDAK SEHAT
201308,2013-08-21,DKI3,83,,31,30,107,20,107,O3,TIDAK SEHAT
201308,2013-08-22,DKI2,79,,26,29,85,14,85,O3,SEDANG
201308,2013-08-23,DKI5,87,,21,39,113,22,113,O3,TIDAK SEHAT
201308,2013-08-24,DKI5,75,,26,40,88,19,88,O3,SEDANG
201308,2013-08-25,DKI5,73,,42,26,75,13,75,O3,SEDANG
201308,2013-08-26,DKI4,78,,40,25,71,14,78,PM10,SEDANG
201308,2013-08-27,DKI5,72,,32,27,85,14,85,O3,SEDANG
201308,2013-08-28,DKI4,74,,26,28,124,23,124,O3,TIDAK SEHAT
201308,2013-08-29,DKI4,74,,30,27,71,13,74,PM10,SEDANG
201308,2013-08-30,DKI4,91,,21,34,69,17,91,PM10,SEDANG
201308,2013-08-31,DKI3,68,,19,28,81,15,81,O3,SEDANG
201301,2013-09-01,DKI2,21,,2,18,92,7,92,O3,SEDANG
201302,2013-09-02,DKI2,70,,7,34,180,30,180,O3,TIDAK SEHAT
201303,2013-09-03,DKI2,64,,12,48,213,15,213,O3,SANGAT TIDAK SEHAT
201304,2013-09-04,DKI5,56,,10,37,167,23,167,O3,TIDAK SEHAT
201305,2013-09-05,DKI4,67,,18,28,77,17,77,O3,SEDANG
201306,2013-09-06,DKI2,68,,33,42,153,21,153,O3,TIDAK SEHAT
201307,2013-09-07,DKI2,72,,20,36,121,18,121,O3,TIDAK SEHAT
201308,2013-09-08,DKI4,53,,37,28,87,14,87,O3,SEDANG
201309,2013-09-09,DKI3,68,,24,34,90,20,90,O3,SEDANG
201310,2013-09-10,DKI5,70,,34,29,117,19,117,O3,TIDAK SEHAT
201311,2013-09-11,DKI4,73,,55,53,101,19,101,O3,TIDAK SEHAT
201312,2013-09-12,DKI4,62,,29,33,88,23,88,O3,SEDANG
201309,2013-09-13,DKI3,83,,40,32,114,22,114,O3,TIDAK SEHAT
201309,2013-09-14,DKI4,71,,30,28,113,19,113,O3,TIDAK SEHAT
201309,2013-09-15,DKI3,66,,25,35,98,17,98,O3,SEDANG
201309,2013-09-16,DKI5,54,,21,35,63,17,63,O3,SEDANG
201309,2013-09-17,DKI5,68,,30,34,138,26,138,O3,TIDAK SEHAT
201309,2013-09-18,DKI4,77,,19,30,110,27,110,O3,TIDAK SEHAT
201309,2013-09-19,DKI5,71,,37,30,91,19,91,O3,SEDANG
201309,2013-09-20,DKI3,71,,34,32,84,21,84,O3,SEDANG
201309,2013-09-21,DKI5,70,,26,25,134,19,134,O3,TIDAK SEHAT
201309,2013-09-22,DKI3,67,,25,33,107,17,107,O3,TIDAK SEHAT
201309,2013-09-23,DKI5,69,,27,30,128,27,128,O3,TIDAK SEHAT
201309,2013-09-24,DKI5,76,,30,27,79,22,79,O3,SEDANG
201309,2013-09-25,DKI5,76,,31,30,117,30,117,O3,TIDAK SEHAT
201309,2013-09-26,DKI4,67,,22,26,100,19,100,O3,SEDANG
201309,2013-09-27,DKI4,65,,31,31,118,25,118,O3,TIDAK SEHAT
201309,2013-09-28,DKI3,72,,37,26,91,18,91,O3,SEDANG
201309,2013-09-29,DKI4,77,,37,26,88,12,88,O3,SEDANG
201309,2013-09-30,DKI5,73,,33,29,69,18,73,PM10,SEDANG
201301,2013-10-01,DKI2,24,,4,16,76,6,76,O3,SEDANG
201302,2013-10-02,DKI2,65,,20,38,185,19,185,O3,TIDAK SEHAT
